LivingArea,LotArea,GarageArea,UnfinBsmtSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,TotalRooms,OverallQual,OverallCond,BsmtQual,YearBuilt,YearRemod,Neighborhood,SalePrice
1710,8450,548,150,856,856,854,8,7,5,Gd,2003,2003,CollgCr,208500
1262,9600,460,284,1262,1262,0,6,6,8,Gd,1976,1976,Veenker,181500
1786,11250,608,434,920,920,866,6,7,5,Gd,2001,2002,CollgCr,223500
1717,9550,642,540,756,961,756,7,7,5,TA,1915,1970,Crawfor,140000
2198,14260,836,490,1145,1145,1053,9,8,5,Gd,2000,2000,NoRidge,250000
1362,14115,480,64,796,796,566,5,5,5,Gd,1993,1995,Mitchel,143000
1694,10084,636,317,1686,1694,0,7,8,5,Ex,2004,2005,Somerst,307000
2090,10382,484,216,1107,1107,983,7,7,6,Gd,1973,1973,NWAmes,200000
1774,6120,468,952,952,1022,752,8,7,5,TA,1931,1950,OldTown,129900
1077,7420,205,140,991,1077,0,5,5,6,TA,1939,1950,BrkSide,118000
1040,11200,384,134,1040,1040,0,5,5,5,TA,1965,1965,Sawyer,129500
2324,11924,736,177,1175,1182,1142,11,9,5,Ex,2005,2006,NridgHt,345000
912,12968,352,175,912,912,0,4,5,6,TA,1962,1962,Sawyer,144000
1494,10652,840,1494,1494,1494,0,7,7,5,Gd,2006,2007,CollgCr,279500
1253,10920,352,520,1253,1253,0,5,6,5,TA,1960,1960,NAmes,157000
854,6120,576,832,832,854,0,5,7,8,TA,1929,2001,BrkSide,132000
1004,11241,480,426,1004,1004,0,5,6,7,TA,1970,1970,NAmes,149000
1296,10791,516,0,0,1296,0,6,4,5,,1967,1967,Sawyer,90000
1114,13695,576,468,1114,1114,0,6,5,5,TA,2004,2004,SawyerW,159000
1339,7560,294,525,1029,1339,0,6,5,6,TA,1958,1965,NAmes,139000
2376,14215,853,1158,1158,1158,1218,9,8,5,Ex,2005,2006,NridgHt,325300
1108,7449,280,637,637,1108,0,6,7,7,TA,1930,1950,IDOTRR,139400
1795,9742,534,1777,1777,1795,0,7,8,5,Gd,2002,2002,CollgCr,230000
1060,4224,572,200,1040,1060,0,6,5,7,Gd,1976,1976,MeadowV,129900
1060,8246,270,204,1060,1060,0,6,5,8,TA,1968,2001,Sawyer,154000
1600,14230,890,1566,1566,1600,0,7,8,5,Gd,2007,2007,NridgHt,256300
900,7200,576,180,900,900,0,5,5,7,TA,1951,2000,NAmes,134800
1704,11478,772,486,1704,1704,0,7,8,5,Ex,2007,2008,NridgHt,306000
1600,16321,319,207,1484,1600,0,6,5,6,TA,1957,1997,NAmes,207500
520,6324,240,520,520,520,0,4,4,6,TA,1927,1950,BrkSide,68500
1317,8500,250,649,649,649,668,6,4,4,TA,1920,1950,IDOTRR,40000
1228,8544,271,1228,1228,1228,0,6,5,6,TA,1966,2006,Sawyer,149350
1234,11049,484,1234,1234,1234,0,7,8,5,Ex,2007,2007,CollgCr,179900
1700,10552,447,380,1398,1700,0,6,5,5,TA,1959,1959,NAmes,165500
1561,7313,556,408,1561,1561,0,6,9,5,Ex,2005,2005,NridgHt,277500
2452,13418,691,1117,1117,1132,1320,9,8,5,Ex,2004,2005,NridgHt,309000
1097,10859,672,1097,1097,1097,0,6,5,5,Gd,1994,1995,CollgCr,145000
1297,8532,498,84,1297,1297,0,5,5,6,TA,1954,1990,NAmes,153000
1057,7922,246,326,1057,1057,0,5,5,7,TA,1953,2007,NAmes,109000
1152,6040,0,0,0,1152,0,6,4,5,,1955,1955,Edwards,82000
1324,8658,440,445,1088,1324,0,6,6,5,TA,1965,1965,NAmes,160000
1328,16905,308,383,1350,1328,0,5,5,6,TA,1959,1959,Timber,170000
884,9180,504,0,840,884,0,5,5,7,Gd,1983,1983,SawyerW,144000
938,9200,308,167,938,938,0,5,5,6,Gd,1975,1980,CollgCr,130250
1150,7945,300,465,1150,1150,0,6,5,6,TA,1959,1959,NAmes,141000
1752,7658,576,1296,1752,1752,0,6,9,5,Ex,2005,2005,NridgHt,319900
2149,12822,670,83,1434,1518,631,6,7,5,Ex,2003,2003,Mitchel,239686
1656,11096,826,1632,1656,1656,0,7,8,5,Gd,2006,2006,Somerst,249700
1452,4456,0,736,736,736,716,8,4,5,TA,1920,2008,OldTown,113000
955,7742,386,192,955,955,0,6,5,7,TA,1966,1966,Sawyer,127000
1470,13869,388,612,794,794,676,6,6,6,Gd,1997,1997,Gilbert,177000
1176,6240,528,816,816,816,0,6,6,6,TA,1934,1950,BrkSide,114500
816,8472,516,0,816,816,0,5,5,5,Gd,1963,1963,IDOTRR,110000
1842,50271,894,32,1842,1842,0,5,9,5,Ex,1981,1987,Veenker,385000
1360,7134,572,0,384,1360,0,6,5,5,TA,1955,1955,NAmes,130000
1425,10175,576,935,1425,1425,0,7,6,5,TA,1964,1964,NAmes,180500
1739,2645,480,321,970,983,756,7,8,5,Gd,1999,2000,Somerst,172500
1720,11645,565,860,860,860,860,7,7,5,Gd,2004,2004,CollgCr,196500
2945,13682,641,1410,1410,1426,1519,10,10,5,Ex,2006,2006,StoneBr,438780
780,7200,352,148,780,780,0,4,5,7,TA,1972,1972,CollgCr,124900
1158,13072,576,217,1158,1158,0,5,6,5,Gd,2004,2004,SawyerW,158000
1111,7200,288,530,530,581,530,6,5,7,TA,1920,1996,IDOTRR,101000
1370,6442,484,1346,1370,1370,0,6,8,5,Gd,2006,2006,NridgHt,202500
1710,10300,480,576,576,902,808,9,7,6,TA,1921,1950,OldTown,140000
2034,9375,645,318,1057,1057,977,8,7,5,Gd,1997,1998,CollgCr,219500
2473,9591,852,1143,1143,1143,1330,9,8,5,Ex,2004,2005,NridgHt,317000
2207,19900,576,1035,1947,2207,0,7,7,5,Gd,1970,1989,NAmes,180000
1479,10665,558,440,1453,1479,0,7,7,5,Gd,2003,2003,CollgCr,226000
747,4608,220,747,747,747,0,4,4,6,TA,1945,1950,OldTown,80000
2287,15593,667,701,1304,1304,983,7,7,4,TA,1953,1953,ClearCr,225000
2223,13651,516,343,2223,2223,0,8,7,6,Gd,1973,1973,NAmes,244000
845,7599,360,280,845,845,0,4,4,6,TA,1982,2006,Mitchel,129500
1718,10141,427,832,832,885,833,7,7,5,Gd,1998,1998,Gilbert,185000
1086,10200,490,404,1086,1086,0,6,5,7,TA,1954,2003,NAmes,144900
1605,5790,379,840,840,840,765,8,3,6,Fa,1915,1950,OldTown,107400
988,1596,297,0,462,526,462,5,4,5,Gd,1973,1973,MeadowV,91000
952,8475,283,724,952,952,0,4,4,7,TA,1956,1956,NAmes,135750
1285,8635,240,295,672,1072,213,6,5,5,TA,1948,2001,BrkSide,127000
1768,10778,0,1768,1768,1768,0,8,4,5,TA,1968,1968,Sawyer,136500
1230,10440,440,440,440,682,548,5,5,6,TA,1910,1981,OldTown,110000
2142,13000,509,448,896,1182,960,8,6,6,Gd,1968,1968,NAmes,193500
1337,4500,405,36,1237,1337,0,5,6,5,Ex,1998,1998,Mitchel,153500
1563,10206,758,1530,1563,1563,0,6,8,5,Gd,2007,2007,Somerst,245000
1065,8892,461,1065,1065,1065,0,6,5,5,TA,1960,1960,NAmes,126500
1474,8530,400,384,384,804,670,7,7,5,Gd,1995,1996,Gilbert,168500
2417,16059,462,1288,1288,1301,1116,9,8,5,Gd,1991,1992,NoRidge,260000
1560,11911,400,684,684,684,876,6,6,5,Gd,2005,2005,Gilbert,174000
1224,3951,528,612,612,612,612,4,6,5,Gd,2009,2009,Somerst,164500
1526,8470,0,1013,1013,1013,0,6,3,2,TA,1915,1982,IDOTRR,85000
990,8070,0,402,990,990,0,5,4,5,Gd,1994,1995,CollgCr,123600
1040,7200,420,0,0,1040,0,4,4,5,,1950,1950,NAmes,109900
1235,8500,480,635,1235,1235,0,6,5,3,TA,1961,1961,NAmes,98600
964,13360,432,163,876,964,0,5,5,7,Gd,1921,2006,Crawfor,163500
2291,7200,506,168,1214,1260,1031,9,6,6,TA,1910,1998,OldTown,133900
1786,9337,684,176,824,905,881,7,6,5,Gd,1997,1997,CollgCr,204750
1470,9765,420,370,680,680,790,6,6,8,Gd,1993,1993,Gilbert,185000
1588,10264,472,426,1588,1588,0,6,7,5,Gd,1999,1999,CollgCr,214000
960,10921,432,440,960,960,0,6,4,5,TA,1965,1965,Edwards,94750
835,10625,366,350,458,835,0,5,5,5,TA,1920,1950,Edwards,83000
1225,9320,0,381,950,1225,0,6,4,5,TA,1959,1959,NAmes,128950
1610,10603,480,410,1610,1610,0,6,6,7,TA,1977,2001,NWAmes,205000
1732,9206,476,741,741,977,755,7,6,5,Gd,1985,1985,SawyerW,178000
1535,7018,410,0,0,1535,0,8,5,5,,1979,1979,SawyerW,118964
1226,10402,740,1226,1226,1226,0,6,7,5,Gd,2009,2009,CollgCr,198900
1818,7758,240,816,1040,1226,592,7,7,4,TA,1931,1950,IDOTRR,169500
1992,9375,648,1053,1053,1053,939,9,8,5,Ex,2003,2004,Somerst,250000
1047,10800,273,641,641,1047,0,6,4,7,Fa,1885,1995,OldTown,100000
789,6000,250,516,789,789,0,5,5,5,TA,1948,1950,OldTown,115000
1517,8500,0,793,793,997,520,7,5,7,TA,1919,2005,IDOTRR,115000
1844,11751,546,1139,1844,1844,0,7,6,6,Gd,1977,1977,NWAmes,190000
1855,9525,325,550,994,1216,639,7,6,4,TA,1954,1972,Edwards,136900
1430,7750,400,134,384,774,656,7,7,5,Gd,2000,2000,Gilbert,180000
2696,9965,792,280,1264,1282,1414,10,7,5,Ex,2007,2007,CollgCr,383970
2259,21000,450,905,1809,2259,0,7,6,5,Gd,1953,1953,Crawfor,217000
2320,7259,180,104,1028,1436,884,9,6,8,TA,1945,2002,Crawfor,259500
1458,3230,440,310,729,729,729,5,6,5,Gd,1999,1999,Somerst,176000
1092,11616,288,252,1092,1092,0,6,5,5,TA,1962,1962,Sawyer,139000
1125,8536,430,1125,1125,1125,0,5,5,5,Gd,2006,2007,Edwards,155000
3222,12376,594,203,1673,1699,1523,11,7,5,Gd,1990,1990,SawyerW,320000
1456,8461,390,728,728,728,728,8,6,5,Gd,2005,2006,CollgCr,163990
988,21453,540,0,938,988,0,4,6,5,TA,1969,1969,ClearCr,180000
1123,6060,264,732,732,772,351,4,4,5,TA,1939,1950,IDOTRR,100000
1080,9464,288,510,1080,1080,0,5,6,7,TA,1958,1958,NAmes,136000
1199,7892,530,899,1199,1199,0,5,6,5,Gd,1993,1993,SawyerW,153900
1586,17043,435,1362,1362,1586,0,7,6,5,Gd,1979,1998,NWAmes,181000
754,6780,0,30,520,520,0,5,6,8,TA,1935,1982,IDOTRR,84500
958,4928,440,958,1078,958,0,5,6,5,Gd,1976,1976,NPkVill,128000
840,4388,0,556,672,840,0,5,5,7,TA,1930,1950,OldTown,87000
1348,7590,453,148,660,660,688,6,6,5,TA,1966,1966,NAmes,155000
1053,8973,750,413,1008,1053,0,6,5,7,TA,1958,1991,NAmes,150000
2157,14200,487,479,924,1216,941,8,7,6,TA,1966,1966,NAmes,226000
2054,12224,390,297,992,1022,1032,7,6,5,Gd,2000,2000,Gilbert,244000
1327,7388,624,658,1063,1327,0,7,5,6,TA,1959,2002,NAmes,150750
1296,6853,471,262,1267,1296,0,6,8,5,Ex,2001,2002,Timber,220000
1721,10335,440,891,1461,1721,0,7,5,6,TA,1968,1993,Sawyer,180000
1682,10400,530,1304,1304,1682,0,7,7,6,TA,1970,1970,NWAmes,174000
1214,10355,318,519,1214,1214,0,5,5,5,TA,1967,1967,NAmes,143000
1959,11070,766,1907,1907,1959,0,9,7,5,TA,1988,1989,Mitchel,171000
1852,9066,660,336,1004,1004,848,7,8,5,Gd,1999,2000,CollgCr,230000
1764,15426,470,107,928,928,836,7,6,5,Gd,1997,1997,CollgCr,231500
864,10500,0,432,864,864,0,5,4,5,TA,1971,1971,NAmes,115000
1734,11645,660,434,1734,1734,0,7,7,5,Gd,2005,2005,CollgCr,260000
1385,8520,720,403,910,910,475,6,5,4,TA,1952,1952,NAmes,166000
1501,10335,577,811,1490,1501,0,6,7,5,Gd,1999,1999,CollgCr,204000
1728,9100,504,396,1728,1728,0,10,5,5,TA,1963,1963,Sawyer,125000
1709,2522,380,970,970,970,739,7,6,5,Gd,2004,2006,Edwards,130000
875,6120,180,506,715,875,0,5,5,7,TA,1931,1993,BrkSide,105000
2035,9505,434,884,884,884,1151,8,7,5,Gd,2001,2001,Gilbert,222500
1080,7500,0,400,1080,1080,0,6,7,5,Gd,2004,2005,SawyerW,141000
1344,6240,240,896,896,896,448,7,5,4,Gd,1936,1950,BrkSide,115000
969,10356,440,253,969,969,0,5,5,6,TA,1975,1975,CollgCr,122000
1710,13891,866,310,1710,1710,0,6,8,5,Ex,2007,2008,NridgHt,372402
1993,14803,495,409,825,1097,896,8,6,5,TA,1971,1971,NWAmes,190000
1252,13500,564,93,1602,1252,0,4,6,7,Gd,1960,1975,ClearCr,235000
1200,11340,312,1200,1200,1200,0,7,6,5,TA,1923,1950,OldTown,125000
1096,9600,0,572,572,572,524,5,6,5,TA,1924,1950,Edwards,79000
1040,7200,625,0,0,1040,0,5,5,7,,1950,1950,NAmes,109500
1968,12003,680,774,774,774,1194,8,8,5,Ex,2009,2010,Timber,269500
1947,12552,678,769,991,991,956,8,7,5,Gd,2004,2005,Somerst,254900
2462,19378,576,1335,1392,1392,1070,9,7,5,Gd,2005,2006,Gilbert,320000
1232,11120,516,572,1232,1232,0,6,6,6,Gd,1984,1984,Veenker,162500
2668,13688,726,556,1572,1572,1096,10,9,5,Ex,2003,2004,NridgHt,412500
1541,12182,532,340,1541,1541,0,7,7,5,Gd,2005,2005,NridgHt,220000
882,5500,0,882,882,882,0,4,4,6,TA,1956,1956,OldTown,103200
1616,5400,216,779,1149,1149,467,5,6,7,TA,1926,2004,OldTown,152000
1355,10106,0,112,644,808,547,6,5,7,TA,1940,1999,Edwards,127500
1867,10708,303,470,1617,1867,0,7,5,5,TA,1955,1993,ClearCr,190000
2161,10562,789,294,1582,1610,551,8,8,5,Ex,2007,2007,NridgHt,325624
1720,8244,440,840,840,840,880,7,7,5,Gd,2004,2004,Gilbert,183500
1707,16669,511,1686,1686,1707,0,6,8,6,Gd,1981,1981,Timber,228000
1382,12358,660,360,720,854,0,7,5,6,TA,1941,1950,OldTown,128500
1656,31770,528,441,1080,1656,0,7,6,5,TA,1960,1960,NAmes,215000
1767,5306,504,354,1064,1064,703,5,7,7,Gd,1987,1987,StoneBr,239000
1362,10197,504,700,1362,1362,0,6,6,5,TA,1961,1961,NAmes,163000
1651,12416,616,0,1606,1651,0,7,6,5,Gd,1986,1986,Timber,184000
2158,12615,576,725,1202,2158,0,7,6,7,TA,1950,2001,Edwards,243000
2060,10029,521,320,1151,1164,896,8,6,5,Gd,1988,1989,ClearCr,211000
1920,13650,451,554,1052,1252,668,8,5,5,TA,1958,1958,Sawyer,172500
2234,17423,1166,312,2216,2234,0,9,9,5,Ex,2008,2009,StoneBr,501837
968,8520,480,968,968,968,0,5,5,6,TA,1923,2006,OldTown,100000
1525,2117,440,320,756,769,756,5,6,5,Gd,2000,2000,Somerst,177000
1802,7588,216,441,793,901,901,9,7,6,Fa,1920,1950,Crawfor,200100
1340,9060,252,0,0,1340,0,7,5,6,,1957,2006,Edwards,120000
2082,11426,484,1362,1362,1362,720,6,7,5,Gd,2003,2003,OldTown,200000
1252,7438,576,504,504,936,316,5,5,8,Fa,1908,1991,BrkSide,127000
3608,22950,840,1107,1107,1518,1518,12,10,9,TA,1892,1993,OldTown,475000
1217,9947,497,577,1188,1217,0,6,7,5,Gd,1990,1991,Mitchel,173000
1656,10410,180,660,660,808,704,8,5,7,Fa,1916,1987,OldTown,135000
1224,7018,528,0,1086,1224,0,6,5,5,Gd,1979,1979,SawyerW,153337
1593,4923,682,440,1593,1593,0,5,8,5,Ex,2001,2002,StoneBr,286000
2727,10570,440,556,853,1549,1178,10,8,8,Gd,1932,1994,Crawfor,315000
1479,7472,484,99,725,725,754,7,7,9,TA,1972,2004,NAmes,184000
1431,9017,666,871,1431,1431,0,6,7,5,Gd,1999,1999,CollgCr,192000
1709,2522,380,970,970,970,739,7,7,5,Gd,2004,2004,Edwards,130000
864,7180,352,474,864,864,0,5,5,7,TA,1972,1972,CollgCr,127000
1456,2280,440,289,855,855,601,7,6,6,Gd,1976,1976,NPkVill,148500
1726,9416,786,600,1726,1726,0,8,7,5,Ex,2007,2007,Somerst,311872
3112,25419,795,140,1360,1360,1360,8,8,4,TA,1918,1990,NAmes,235000
2229,5520,0,755,755,929,929,8,6,6,TA,1912,1950,OldTown,104000
1713,9591,856,625,1713,1713,0,7,8,5,Ex,2004,2005,NridgHt,274900
1121,8546,440,1121,1121,1121,0,5,4,5,Gd,2003,2004,Edwards,140000
1279,10125,473,276,1196,1279,0,6,6,6,TA,1977,1977,Mitchel,171500
1310,7000,398,0,617,865,445,6,6,6,Fa,1924,1950,OldTown,112000
848,4438,420,186,848,848,0,3,6,5,Gd,2004,2004,CollgCr,149000
1284,3500,240,408,720,720,564,5,5,7,TA,1947,1950,OldTown,110000
1442,11851,500,1424,1424,1442,0,5,7,5,Gd,1990,1990,Gilbert,180500
1696,13673,349,1140,1140,1696,0,8,5,5,TA,1962,1962,Sawyer,143900
1100,12493,312,375,1100,1100,0,6,4,5,TA,1960,1960,NAmes,141000
2062,14364,454,92,1157,1180,882,7,7,5,Gd,1988,1989,SawyerW,277000
1092,8250,504,305,1092,1092,0,6,6,7,Gd,1964,1964,NAmes,145000
864,5604,0,396,864,864,0,5,5,6,TA,1925,1950,Edwards,98000
1212,10420,460,1176,1212,1212,0,6,6,5,Gd,2009,2009,Edwards,186000
1852,8640,644,78,900,932,920,7,7,5,Gd,2009,2009,Somerst,252678
990,13568,576,274,990,990,0,5,5,5,Gd,1995,1995,CollgCr,156000
1392,10900,299,311,689,689,703,6,6,7,Gd,1977,1977,CollgCr,161750
1236,10011,447,710,1070,1236,0,6,5,6,TA,1957,1996,NAmes,134450
1436,8450,484,490,1436,1436,0,8,7,5,Gd,2004,2004,CollgCr,210000
1328,9906,210,686,686,810,518,8,4,4,TA,1925,1950,OldTown,107000
1954,15660,431,457,798,1137,817,8,7,9,TA,1939,2006,Crawfor,311500
1248,3010,438,1232,1248,1248,0,5,7,5,Gd,2005,2006,Blmngtn,167240
1498,8990,675,1498,1498,1498,0,5,7,5,Gd,2006,2006,CollgCr,204900
2267,8068,390,1010,1010,1010,1257,8,6,5,Gd,2002,2002,Gilbert,200000
1552,11475,434,163,713,811,741,6,6,6,Gd,1975,1975,NWAmes,179900
864,10500,576,160,864,864,0,4,4,6,TA,1971,1971,NAmes,97000
2392,13472,968,2336,2392,2392,0,8,10,5,Ex,2003,2003,NridgHt,386250
1302,1680,280,630,630,630,672,6,5,5,TA,1971,1971,BrDale,112000
2520,9950,721,638,1203,1214,1306,9,7,5,Gd,1995,1995,NoRidge,290000
987,1869,280,162,483,483,504,5,6,6,TA,1970,1970,BrDale,106000
912,8521,336,70,912,912,0,5,5,5,TA,1967,1967,Sawyer,125000
1555,3182,430,1357,1373,1555,0,7,7,5,Gd,2005,2006,Blmngtn,192500
1194,8760,312,1194,1194,1194,0,6,6,6,TA,1959,1959,NAmes,148000
2794,15138,810,773,1462,1490,1304,9,8,5,Gd,1995,1996,NoRidge,403000
987,1680,288,483,483,483,504,5,6,5,TA,1972,1972,BrDale,94500
894,10650,308,0,894,894,0,5,5,6,TA,1976,1976,CollgCr,128200
1960,7851,440,235,860,860,1100,8,6,5,Gd,2002,2002,Gilbert,216500
987,1680,264,125,483,483,504,5,6,3,TA,1971,1971,BrDale,89500
1414,8773,494,1390,1414,1414,0,6,7,5,Gd,2004,2004,CollgCr,185500
1744,9453,457,594,996,1014,730,7,7,7,Gd,1993,2003,SawyerW,194500
1694,12030,818,1694,1694,1694,0,7,8,5,Ex,2007,2007,NridgHt,318000
1487,8741,220,641,735,798,689,7,6,4,TA,1945,1950,Edwards,113000
1566,9000,750,488,1566,1566,0,7,8,5,Gd,2008,2008,Somerst,262500
866,3880,0,357,686,866,0,4,5,9,TA,1945,1997,OldTown,110500
1440,5000,352,540,540,889,551,6,5,4,TA,1900,1950,OldTown,79000
1217,10762,288,626,626,626,591,6,6,6,Gd,1980,1980,SawyerW,120000
2110,8880,463,253,948,1222,888,8,7,5,Gd,1994,2002,SawyerW,205000
1872,10400,604,916,1845,1872,0,6,7,5,Gd,1988,1988,NWAmes,241500
1928,9142,440,1020,1020,908,1020,9,6,8,Fa,1910,1950,OldTown,137000
1375,11310,451,1367,1367,1375,0,5,6,5,TA,1954,1954,NAmes,140000
1668,11317,500,840,840,840,828,8,7,5,Gd,2003,2003,CollgCr,180000
2144,159000,389,747,1444,1444,700,7,6,7,Gd,1958,2006,ClearCr,277000
1306,5350,0,728,728,1306,0,6,3,2,TA,1940,1966,BrkSide,76500
1625,4750,538,0,1573,1625,0,5,8,5,Gd,2006,2007,Crawfor,235000
1640,8366,520,798,798,798,842,6,6,5,Gd,2004,2004,SawyerW,173000
1302,9350,309,452,1302,1302,0,7,6,7,Gd,1964,1991,NAmes,158000
1314,8400,294,392,1314,1314,0,5,5,6,TA,1957,1957,NAmes,145000
2291,8738,429,975,975,1005,1286,8,7,5,Gd,1999,1999,Gilbert,230000
1728,8791,673,361,864,864,864,7,6,5,Gd,2003,2003,Somerst,207500
1604,8814,660,270,1604,1604,0,8,7,5,Gd,2006,2006,CollgCr,220000
1792,12435,564,602,963,963,829,7,7,5,Gd,2001,2001,CollgCr,231500
882,12702,308,0,0,882,0,4,5,5,,1956,1956,OldTown,97000
1382,19296,884,0,1362,1382,0,6,6,5,TA,1962,1962,NAmes,176000
2574,9588,868,1482,1482,1482,1092,10,8,5,Ex,2007,2007,CollgCr,276000
1212,8471,492,0,506,1212,0,6,6,7,Gd,1977,1995,Sawyer,151000
1316,5500,484,0,926,926,0,6,5,7,TA,1929,2001,OldTown,130000
764,5232,504,680,680,764,0,4,5,5,Fa,1925,2004,OldTown,73000
1422,12090,576,606,1422,1422,0,7,6,6,Gd,1981,1981,NWAmes,175500
1511,11207,413,88,802,802,709,8,6,5,Gd,1997,1997,Gilbert,185000
2192,8400,240,342,720,1052,720,8,5,8,TA,1939,1997,SWISU,179500
778,6900,924,212,740,778,0,4,5,6,TA,1940,1955,IDOTRR,120500
1113,7917,504,392,1143,1113,0,6,6,7,TA,1976,1976,Edwards,148000
1939,10728,1053,1095,1095,1095,844,8,8,5,Gd,2006,2006,Somerst,266000
1363,39104,439,96,1385,1363,0,5,7,7,Gd,1954,2005,ClearCr,241500
2270,11764,671,628,1152,1164,1106,9,8,7,Gd,1999,2007,NoRidge,290000
1632,9600,338,0,1240,1632,0,6,6,6,TA,1958,1988,NAmes,139000
816,8314,264,270,816,816,0,5,5,7,TA,1982,1982,Mitchel,124500
1548,7264,672,952,952,952,596,5,7,7,TA,1925,2007,BrkSide,205000
1560,9196,573,1560,1560,1560,0,7,7,5,Ex,2003,2003,Mitchel,201000
864,19138,400,744,864,864,0,4,4,5,TA,1951,1951,Gilbert,141000
2121,14450,732,2121,2121,2121,0,8,9,5,Ex,2006,2007,NridgHt,415298
2022,10005,505,768,1160,1156,866,8,7,5,Gd,1977,1977,ClearCr,192000
1982,11287,575,386,807,1175,807,7,7,6,Gd,1989,1989,SawyerW,228500
1262,7200,572,357,1262,1262,0,5,6,5,Gd,2006,2006,Somerst,185000
1314,5063,626,410,1314,1314,0,6,7,5,Gd,2007,2008,NridgHt,207500
1468,9612,898,1468,1468,1468,0,6,8,5,Gd,2008,2009,Somerst,244600
1575,8012,529,1145,1575,1575,0,5,6,5,Gd,1992,1992,SawyerW,179200
1250,4251,528,625,625,625,625,5,7,5,Gd,2006,2007,Somerst,164700
1734,9786,440,312,912,1085,649,7,6,7,TA,1962,1981,NAmes,159000
858,8125,0,244,858,858,0,5,4,4,TA,1971,1971,NAmes,88000
900,9819,280,432,882,900,0,5,5,5,TA,1967,1967,Sawyer,122000
